测试套/软件包名,测试用例名,状态,日志文件,原因
os-basic,oe_test_dmraid,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_dmraid/2023-04-28-03:31:39.log,测试套问题， x86 和 riscv 原因不同，  [详细分析](./cause_md/os-basic/oe_test_dmraid.md)
,oe_test_uname,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_uname/2023-04-28-03:40:18.log,测试套问题， x86 和 riscv 原因不同，[详细分析](./cause_md/os-basic/oe_test_uname.md)
,oe_test_count_gperftools_function,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_count_gperftools_function/2023-04-28-10:58:54.log,测试套问题， x86 和 riscv 原因不同，[详细分析](./cause_md/os-basic/oe_test_count_gperftools_function.md)
,oe_test_disk_graphics_card,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_disk_graphics_card/2023-04-28-10:05:30.log,测试套问题， x86 和 riscv 原因不同，[详细分析](./cause_md/os-basic/oe_test_disk_graphics_card.md)
dhcp,oe_test_service_dhcpd,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dhcp/oe_test_service_dhcpd/2023-05-25-21:39:19.log,x86 和 riscv 原因不同，[详细分析](./cause_md/dhcp/oe_test_service_dhcpd.md)
,oe_test_service_dhcpd6,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dhcp/oe_test_service_dhcpd6/2023-05-25-21:38:13.log,x86 和 riscv 原因不同，[详细分析](./cause_md/dhcp/oe_test_service_dhcpd6.md)
dnf,oe_test_dnf_enabled_enablerepo,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dnf/oe_test_dnf_enabled_enablerepo/2023-05-25-17_06_44.log,测试套问题， x86 和 riscv 原因不同，[详细分析](./cause_md/dnf/oe_test_dnf_enabled_enablerepo.md)
,oe_test_dnf_list_mark,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dnf/oe_test_dnf_list_mark/2023-05-25-17_14_32.log,测试套问题， x86 和 riscv 原因不同，[详细分析](./cause_md/dnf/oe_test_dnf_list_mark.md)
,oe_test_dnf_reinstall_repoinfo,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dnf/oe_test_dnf_reinstall_repoinfo/2023-05-25-17_20_55.log,测试套问题， x86 和 riscv 原因不同，[详细分析](./cause_md/dnf/oe_test_dnf_reinstall_repoinfo.md)
,oe_test_dnf_repeat-upgrade-downgrade,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dnf/oe_test_dnf_repeat-upgrade-downgrade/2023-05-25-17_35_52.log,测试套问题， x86 和 riscv 原因不同，[详细分析](./cause_md/dnf/oe_test_dnf_repeat-upgrade-downgrade.md)
